emoji	keywords
🏺	amphora, aquariu, aquarius, cooking, drink, jug, tool, weapon, zodiac, அலங்கார, உணவு, கும்ப, கும்பம், ஜாடி, பானம், பொருள், ராசி, வீட்டு
🐀	animal, rat, எலி, ஜெர்ரி, விலங்கு
🐁	animal, animals, mouse, எலி, சுண்டெலி, விலங்கு
🐂	animal, animals, bull, farm, ox, tauru, taurus, zodiac, எருது, காளை, ராசி, விலங்கு
🐃	animal, buffalo, water, zoo, எருமை, நீர், மிருகம், விலங்கு
🐄	animal, animals, cow, farm, milk, moo, பசு, பசுமாடு, பண்ணை, பால், விலங்கு
🐅	animal, big, cat, predator, tiger, zoo, சரணாலயம், தேசிய, புலி, மிருகம், வனவிலங்கு, விலங்கு
🐆	animal, big, cat, leopard, predator, zoo, காடு, சரணாலயம், சிறுத்தை, சிறுத்தைப்புலி, மிருகம், வனவிலங்கு, விலங்கு
🐇	animal, bunny, pet, rabbit, குட்டி, செல்லப்பிராணி, முயல், மொசக், ரேபிட், விலங்கு
🐈️	animal, animals, cat, cats, kitten, pet, செல்லப்பிராணி, பூனை, பூனைக்குட்டி, விலங்கு
🐈‍⬛	animal, black, cat, feline, halloween, meow, unlucky, கருப்பு, கருப்புப், துரதிர்ஷ்டம், பூனை, விலங்கு
🐉	animal, dragon, fairy, fairytale, knight, knights, tale, ஆஃப், கேம், சீன, சீனா, டிராகன், த்ரோன்ஸ், நாகம், பறக்கும், மிருகம், விலங்கு
🐊	animal, crocodile, zoo, ஊர்வது, சரணாலயம், முதலை, வனவிலங்கு, விலங்கு
🐋	animal, beach, ocean, whale, உயிரி, சுறா, திமிங்கலம், நீர்வாழ், பாலூட்டி, விலங்கு
🐌	animal, escargot, garden, nature, slug, snail, நத்தை, விலங்கு
🐍	animal, bearer, ophiuchu, ophiuchus, serpent, snake, zodiac, நாகம், பாம்பு, விலங்கு
🐎	animal, equestrian, farm, horse, racehorse, racing, ஓடும், குதிரை, பந்தய, பந்தயம், ரேஸ்கோர்ஸ், விலங்கு
🐏	animal, aries, ary, horn, horns, male, ram, sheep, zodiac, zoo, ஆடு, ஆட்டுக்கடா, இராசி, கிடா, கொம்பு, செம்மறி, மேஷம், ராசி, விலங்கு
🐐	animal, capricorn, farm, goat, milk, zodiac, ஆடு, இராசி, மகரம், ராசி, விலங்கு, வெள்ளாடு
🐑	animal, baa, ewe, farm, female, fluffy, lamb, sheep, wool, ஆடு, கம்பளி, செம்மறி, பண்ணை, விலங்கு
🐒	animal, banana, monkey, குரங்கு, கோதி, மங்கி, வானரம், விலங்கு
🐓	animal, bird, ornithology, rooster, கூவுதல், கொக்கரக்கோ, சேவல், பறவை, வீட்டுச்
🐔	animal, bird, chicken, ornithology, குஞ்சு, கோழிக்குஞ்சு, சிக்கன், பறவை
🐕️	animal, animals, dog, dogs, pet, செல்லப்பிராணி, நாய், நாய்க்குட்டி, விலங்கு
🐕‍🦺	accessibility, animal, assistance, dog, service, உதவி, செல்லுதல், சேவை, சேவைபுரியும், நாய், விலங்கு
🐖	animal, bacon, farm, pig, pork, sow, பண்ணை, பன்னி, பன்றி, பன்றிக்குட்டி, போர்க், விலங்கு, வெள்ளை
🐗	animal, boar, pig, அவதாரம், ஆண்பன்றி, பன்னி, பன்றி, வராக, வராகம், விலங்கு
🐘	animal, elephant, குட்டி, சரணாலயம், யானை, யானைகுட்டி, விலங்கு
🐙	animal, creature, ocean, octopu, octopus, ஆக்டோபஸ், கடல், பேய்க்கணவாய், விலங்கு
🐚	animal, beach, conch, sea, shell, spiral, கடற்கரை, கடல், கிளிஞ்சல், சங்கு, சிப்பி, முத்து, விலங்கு
🐛	animal, bug, garden, insect, கம்பளிப்புழு, புழு, பூச்சி, பூரான், மூட்டைப், விலங்கு
🐜	animal, ant, garden, insect, இனிப்பு, எறும்பு, கடி, பூச்சி, விலங்கினம்
🐝	animal, bee, bumblebee, honey, honeybee, insect, nature, spring, கூடு, தேனீ, தேன், பூச்சி, ரீங்காரம், விலங்கினம்
🐞	animal, beetle, garden, insect, lady, ladybird, ladybug, nature, குளவி, பக், பூச்சி, பெண், லேடி, வண்டு, விலங்கினம்
🐟️	animal, dinner, fish, fishe, fishes, fishing, pisce, pisces, zodiac, உயிரினம், நீர்வாழ், மீனம், மீன், விலங்கினம்
🐠	animal, fish, fishe, fishes, tropical, உயிரினம், நன்னீர், நீர்வாழ், மீன், விலங்கினம், வெப்பமண்டல
🐡	animal, blowfish, fish, ஃபிஷ், உயிரினம், ஊதிப்பெருக்கமடையும், குளோப், நீர்வாழ், ப்ளோ, மீன், விலங்கினம்
🐢	animal, terrapin, tortoise, turtle, ஆமை, ஊர்வன, கடலாமை, விலங்கினம்
🐣	animal, baby, bird, chick, egg, hatching, குஞ்சு, கோழிக்குஞ்சு, பறவை, பொறித்தல், முட்டையிலிருந்து, வெளிவரும்
🐤	animal, baby, bird, chick, ornithology, குஞ்சு, கோழி, கோழிக்குஞ்சு, சிக்கன், விலங்கினம்
🐥	animal, baby, bird, chick, facing, front, newborn, ornithology, குஞ்சு, கோழி, கோழிக்குஞ்சு, சிக்கன், நேருக்கு, நேர், பறவை, பார்க்கும், முன்நின்று, விலங்கினம்
🐦️	animal, bird, ornithology, பறவை, மூக்கு, விலங்கினம்
🐦‍⬛	animal, beak, bird, black, caw, corvid, crow, ornithology, raven, rook, அண்டங்காக்கை, கருப்பு, காகம், காகா, காக்கைவகை, கோவிட், பறவை, மைனா
🐦‍🔥	ascend, ascension, emerge, fantasy, firebird, glory, immortal, phoenix, rebirth, reincarnation, reinvent, renewal, revival, revive, rise, transform, ஃபீனிக்ஸ், ஃபேண்டஸி, இறவாது, உயிர்ப்பித்தல், கற்பனை, சாகாவரம், தீப்பறவை, மறுபிறப்பு, மறுபிறவி, மாற்றம்
🐧	animal, antarctica, bird, ornithology, penguin, அண்டார்டிகா, பறவை, பெங்குயின், பென்குயின்
🐨	animal, australia, bear, down, koala, marsupial, under, கோலா, கோவாலா, பாலூட்டி, பியர், விலங்கினம், விலங்கு
🐩	animal, dog, fluffy, poodle, அடர்த்தியான, கொண்ட, செல்லப்பிராணி, நாய், பூடில், முடி, வகை, விலங்கினம்
🐪	animal, camel, desert, dromedary, hump, one, ஒட்டகம், ஒரு, ஒற்றைத், கேமல், கொண்ட, திமில், பாலைவனம்
🐫	animal, bactrian, camel, desert, hump, two, இரட்டைத், இரு, ஒட்டகம், கொண்ட, திமில், பாக்டிரியன், பாலைவனம்
🐬	animal, beach, dolphin, flipper, ocean, கடல், டால்ஃபின், டால்பின், பாலூட்டி, பீச், விலங்கினம்
🐭	animal, mouse, எலி, குட்டி, சுண்டெலி, முகம், விலங்கு
🐮	animal, cow, farm, milk, moo, பசு, பண்ணை, பால், மாடு, முகம், விலங்கு
🐯	animal, big, cat, predator, tiger, டைகர், தேசிய, புலி, முகம், விலங்கினம், விலங்கு
🐰	animal, bunny, pet, rabbit, குட்டி, முகம், முயல், மொசக், விலங்கு
🐱	animal, cat, kitten, kitty, pet, கிட்டன், கிட்டி, செல்லப்பிராணி, பூனை, பூனைக்குட்டி, முகம், விலங்கு
🐲	animal, dragon, fairy, fairytale, tale, டிராகன், நாகம், பறக்கும், மிருகம், முகம், விலங்கு
🐳	animal, beach, ocean, spouting, whale, அடிக்கும், கடல், தண்ணீரைப், திமிங்கலம், பீய்ச்சி, விலங்கினம், விலங்கு
🐴	animal, dressage, equine, farm, horse, horses, குதிரை, கொட்டில், பண்ணை, முகம், விலங்கு
🐵	animal, banana, monkey, குரங்கு, சேட்டை, மரம், முகம், வாழைப்பழம், விலங்கு
🐶	adorb, adorbs, animal, dog, pet, puppies, puppy, செல்லப்பிராணி, நாய், பப்பி, பிராணி, முகம், வளர்ப்புப்
🐷	animal, bacon, farm, pig, pork, பன்றி, முகம், விலங்கு
🐸	animal, frog, தவளை, முகம், விலங்கு
🐹	animal, hamster, pet, முகம், விலங்கு, வெள்ளெலி
🐺	animal, wolf, ஓநாய், முகம், விலங்கு, வுல்ஃப்
🐻	animal, bear, grizzly, growl, honey, கரடி, கரடிக்குட்டி, முகம், விலங்கு
🐻‍❄️	animal, arctic, bear, polar, white, ஆர்க்டிக், கரடி, பனிக், வெள்ளை
🐼	animal, bamboo, panda, கரடி, பாண்டா, பான்டா, முகம், விலங்கு
🐽	animal, farm, nose, pig, smell, snout, பன்றி, பன்றியின், முகம், மூக்கு, விலங்கு
🐾	feet, paw, paws, print, prints, தடம், பாதத், பாதத்தடம், பாதம், விலங்கின், விலங்கு
👑	clothing, crown, family, king, medieval, queen, royal, royalty, win, அணிகலன், அரசி, ஆடை, கிரீடம், மகுடம், ரத்தினம், ராஜ்ஜியம், ராஜ்யம், ராணி
👒	clothe, clothes, clothing, garden, hat, hats, party, woman, அணிகலன், ஆடை, தொப்பி, பார்ட்டி, பெண்கள், ஹேட்
👓️	clothing, eye, eyeglasse, eyeglasses, eyewear, glasse, glasses, அணிகலன், ஆடை, கண், கண்ணாடி, கண்ணாடிகள், கிளாஸ், கோடை, பார்வை, மூக்கு, மூக்குக்
👔	clothing, employed, necktie, seriou, serious, shirt, tie, ஃபார்மல், அணிகலன், அலுவலகம், ஆடை, கழுத்து, சர்ட், டை, துணி, பணி, வேலை, ஷர்ட்
👕	blue, casual, clothe, clothes, clothing, collar, dressed, shirt, shopping, tshirt, weekend, அணிகலன், ஆடை, ஆண், உடை, காலர், கேஷுவல், சட்டை, சர்ட், டி, டிரெஸ், மேலாடை, ஷர்ட், ஷாப்பிங்
👖	blue, casual, clothe, clothes, clothing, denim, dressed, jean, jeans, pant, pants, shopping, trouser, trousers, weekend, ஆடை, ஆடைகள், உடை, காற்சட்டை, ஜீன்ஸ், டிரவுசர், டிரவுசர்ஸ், டிரெஸ், டெனிம், பேன்ட்
👗	clothe, clothes, clothing, dres, dress, dressed, fancy, shopping, ஃபிராக், ஆடை, உடை, கவுன், டிரெஸ், பெண்கள், ஷாப்பிங்
👘	clothing, comfortable, kimono, அணிகலன், ஆடை, உடை, உடைகள், கிமோனோ, ஜப்பானிய, பெண்
👙	bathing, beach, bikini, clothing, pool, suit, swim, அணிகலன், ஆடை, உடை, கவர்ச்சி, குளம், குளிப்பதற்கான, நீச்சலாடை, நீச்சலுடை, நீச்சல், பிகினி, ஸ்விம்மிங்
👚	blouse, clothe, clothes, clothing, collar, dres, dress, dressed, lady, shirt, shopping, woman, அணிகலன், ஆடை, ஆடைகள், உடை, உடைகள், சட்டை, பெண், பெண்களின், பெண்கள், மேல், ஷர்ட்
👛	clothe, clothes, clothing, coin, dres, dress, fancy, handbag, purse, shopping, அணிகலன், ஆடை, பணப்பை, பணம், பர்ஸ், பொருள், மணி, ஷாப்பிங்
👜	bag, clothe, clothes, clothing, dres, dress, handbag, lady, purse, shopping, அணிகலன், ஆடை, கிளட்ச், கைப்பை, பேக், பை, பொருள், ஷாப்பிங், ஹேண்ட்
👝	bag, clothe, clothes, clothing, clutch, dres, dress, handbag, pouch, purse, அணிகலன், ஆடை, கிளட்ச், கைப்பை, பவுச், பேக், பை, பொருள், ஹேண்ட்
👞	brown, clothe, clothes, clothing, feet, foot, kick, man, shoe, shoes, shopping, ஃபார்மல், அணிகலன், அலுவலகம், ஆடை, ஆண்களுக்கான, ஆண்கள், ஆபிஸ், காலணி, பாதம், பிரவுன், பொருள், ஷாப்பிங், ஷூ
👟	athletic, clothe, clothes, clothing, fast, kick, running, shoe, shoes, shopping, sneaker, tenni, tennis, அணிகலன், அத்லெடிக்ஸ், ஆடை, உதை, டென்னிஸ், தடகள, பொருள், மிருதுவான, ரன்னிங், வீரர்களுக்கான, ஷூ, ஸ்நீக்கர்
👠	clothe, clothes, clothing, dres, dress, fashion, heel, heeled, heels, high, shoe, shoes, shopping, stiletto, woman, அணிகலன், ஆடை, செருப்பு, ஷூ, ஹீல், ஹீல்ஸ், ஹை, ஹைஹீல்
👡	clothing, sandal, shoe, woman, அணிகலன், ஆடை, சாண்டல், செருப்பு, பெண்கள், ஹீல்ஸ்
👢	boot, clothe, clothes, clothing, dres, dress, shoe, shoes, shopping, woman, அணிகலன், ஆடை, காலணி, பூட், பூட்ஸ், பெண்கள், ஷூ
👦	boy
👧	girl
👨	man
👨‍⚕️	doctor, health, healthcare, man, nurse, therapist, worker, ஆண், உடல்நலம், கிளினிக், சிகிச்சை, சிகிச்சையாளர், டாக்டர், நபர், நர்ஸ், மருத்துவமனை, மருத்துவர்
👨‍⚖️	judge, justice, law, man, scale, scales, ஆண், சட்டம், தீர்ப்பு, நபர், நியாயம், நீதி, நீதிபதி, நீதிமன்றம், வழக்கு
👨‍✈️	man, pilot, plane, ஆண், ஓட்டுநர், நபர், பைலட், விமான, விமானம், விமானி
👨‍🌾	farmer, gardener, man, rancher, ஆண், தோட்டக்காரர், நபர், பண்ணையாள், விவசாயம், விவசாயி
👨‍🍳	chef, cook, man, ஆண், சமையல், செஃப், நபர், வல்லுநர்
👨‍🍼	baby, dad, father, feed, feeding, man, nanny, newborn, nursing, அப்பா, ஆண், குழந்தை, குழந்தைக்கு, தந்தை, நபர், பாலூட்டுதல், பாலூட்டும்
👨‍🎓	graduate, man, student, ஆண், கல்லூரி, நபர், படிப்பு, பட்டம், மாணவன்
👨‍🎤	actor, entertainer, man, rock, rockstar, singer, star, ஆண், நடிகர், நபர், பாடகர், பொழுதுபோக்கு, ராக்ஸ்டார்
👨‍🎨	artist, man, palette, ஆண், ஓவியம், ஓவியர், கலை, நபர், பெயின்ட்
👨‍🏫	instructor, lecturer, man, professor, teacher, ஆசிரியர், ஆண், நபர், பள்ளி, விரிவுரையாளர்
👨‍🏭	assembly, factory, industrial, man, worker, ஆண், ஆலை, தொழிற்சாலை, தொழிலாளி, நபர்
👨‍💻	coder, computer, developer, inventor, man, software, technologist, ஆண், கணினி, கம்ப்யூட்டர், தொழில்நுட்பவியலாளர், நபர், மென்பொருள், வல்லுநர்
👨‍💼	architect, busines, business, collar, man, manager, office, white, worker, அதிகாரி, அலுவலகம், ஆண், நபர், பணியாளர், மேலாளர், வர்த்தகம்
👨‍🔧	electrician, man, mechanic, plumber, tradesperson, ஆண், நபர், பழுது, பார்ப்பவர், பிளம்பர், மெக்கானிக்
👨‍🔬	biologist, chemist, engineer, man, mathematician, physicist, scientist, அறிவியல், ஆண், கெமிஸ்ட், நபர், விஞ்ஞானி
👨‍🦯	accessibility, blind, cane, man, probing, white, ஆண், கண்பார்வையற்றவர், கைத்தடியுடன், நடக்கும், நபர், பார்வையற்றவர், பார்வையற்றோர், மாற்றுத்திறனாளி
👨‍🦯‍➡️	accessibility, blind, cane, facing, man, probing, right, white
👨‍🦼	accessibility, in, man, motorized, wheelchair, அமர்ந்திருக்கும், ஆண், இயங்கும், சக்கர, சேர், நாற்காலி, நாற்காலியில், மின்னாற்றலில், வீல்
👨‍🦼‍➡️	accessibility, facing, in, man, motorized, right, wheelchair
👨‍🦽	accessibility, in, man, manual, wheelchair, அமர்ந்திருக்கும், ஆண், ஆற்றலில், இயக்கமின்மை, இயங்கும், இயலாதவர், சக்கர, சேர், நடக்க, நபர், நாற்காலி, நாற்காலியில், மனித, மாற்றுத்திறனாளி, முடமானவர், வீல்
👨‍🦽‍➡️	accessibility, facing, in, man, manual, right, wheelchair
👨‍🚀	astronaut, man, rocket, space, ஆண், சாட்டிலைட், நபர், ராக்கெட், விண்வெளி, வீரர்
👨‍🚒	fire, firefighter, firetruck, man, ஆண், தீ, தீயணைப்பு, நபர், விபத்து, வீரர்
👩	woman
👩‍⚕️	doctor, health, healthcare, nurse, therapist, woman, worker, கிளினிக், சிகிச்சை, சிகிச்சையாளர், டாக்டர், நபர், நர்ஸ், பெண், மருத்துவமனை, மருத்துவர்
👩‍⚖️	judge, justice, law, scale, scales, woman, சட்டம், தீர்ப்பு, நபர், நியாயம், நீதிபதி, நீதிமன்றம், பெண், வழக்கு
👩‍✈️	pilot, plane, woman, ஓட்டுநர், நபர், பெண், பைலட், விமான, விமானம், விமானி
👩‍🌾	farmer, gardener, rancher, woman, தோட்டக்காரர், நபர், பண்ணையாள், பெண், விவசாயம், விவசாயி
👩‍🍳	chef, cook, woman, சமையல், செஃப், நபர், பெண், வல்லுநர்
👩‍🍼	baby, feed, feeding, mom, mother, nanny, newborn, nursing, woman, அம்மா, குழந்தை, குழந்தைக்கு, தாய், நபர், பாலூட்டுதல், பாலூட்டும், பெண்
👩‍🎓	graduate, student, woman, கல்லூரி, நபர், பட்டம், பெண், மாணவி
👩‍🎤	actor, entertainer, rock, rockstar, singer, star, woman, நடிகர், நபர், பாடகர், பெண், பொழுதுபோக்கு, ராக்ஸ்டார்
👩‍🎨	artist, palette, woman, ஓவியம், ஓவியர், கலை, நபர், பெண், பெயின்ட், வரைதல்
👩‍🏫	instructor, lecturer, professor, teacher, woman, ஆசிரியர், நபர், பள்ளி, பெண், விரிவுரையாளர்
👩‍🏭	assembly, factory, industrial, woman, worker, ஆலை, தொழிற்சாலை, தொழிலாளி, நபர், பெண்
👩‍💻	coder, computer, developer, inventor, software, technologist, woman, கணினி, கம்ப்யூட்டர், டெவலப்பர், தொழில்நுட்பவியலாளர், நபர், பெண், மென்பொருள், வல்லுநர்
👩‍💼	architect, busines, business, collar, manager, office, white, woman, worker, அதிகாரி, அலுவலகம், நபர், பணியாளர், பெண், மேலாளர்
👩‍🔧	electrician, mechanic, plumber, tradesperson, woman, எலக்ட்ரீசியன், நபர், பழுது, பார்ப்பவர், பிளம்பர், பெண், மெக்கானிக்
👩‍🔬	biologist, chemist, engineer, mathematician, physicist, scientist, woman, அறிவியலாளர், அறிவியல், உயிரியலாளர், நபர், பெண், பொறியியலாளர், விஞ்ஞானி
👩‍🦯	accessibility, blind, cane, probing, white, woman, கண்பார்வையற்றவர், கைத்தடியுடன், நடக்கும், நபர், பார்வையற்றவர், பார்வையற்றோர், பார்வையிழந்தவர், பெண், மாற்றுத்திறனாளி
👩‍🦯‍➡️	accessibility, blind, cane, facing, probing, right, white, woman
👩‍🦼	accessibility, in, motorized, wheelchair, woman, அமர்ந்திருக்கும், இயக்கமின்மை, இயங்காமை, இயங்கும், இயலாமை, சக்கர, சக்கரநாற்காலி, செயலிழந்தவர், நபர், நாற்காலியில், பெண், மின்னாற்றலில், முடமானவர்
👩‍🦼‍➡️	accessibility, facing, in, motorized, right, wheelchair, woman
👩‍🦽	accessibility, in, manual, wheelchair, woman, அமர்ந்திருக்கும், ஆற்றலில், இயங்கும், இயலாதவர், இயலாமை, உடல், சக்கர, திறனாளி, நடக்க, நாற்காலி, நாற்காலியில், பெண், மனித, மாற்றுத்
👩‍🦽‍➡️	accessibility, facing, in, manual, right, wheelchair, woman
👩‍🚀	astronaut, rocket, space, woman, சாட்டிலைட், நபர், பெண், ராக்கெட், விண்கலம், விண்வெளி, வீரர்
👩‍🚒	fire, firefighter, firetruck, woman, தீ, தீயணைப்பு, நபர், பெண், விபத்து, வீரர்
👮	apprehend, arrest, citation, cop, law, officer, over, police, pulled, undercover, அதிகாரி, ஆண், ஆபிசர், ஆபிஸர், காவலர், காவல்துறை, கைது, சட்டம், நபர், போலிஸ், போலீஸ், மக்கள்
👮‍♀️	apprehend, arrest, citation, cop, law, officer, over, police, pulled, undercover, woman, அதிகாரி, காவலர், காவல்துறை, கைது, நபர், பெண், போலிஸ், போலீஸ்
👮‍♂️	apprehend, arrest, citation, cop, law, man, officer, over, police, pulled, undercover, அதிகாரி, ஆண், காவலர், காவல்துறை, போலீஸ்
👯	bestie, bff, bunny, counterpart, dancer, double, ear, ears, identical, pair, party, partying, people, soulmate, twin, twinsies, twinsy, ஆத்ம, இணை, உள்ள, காது, காதுகளுடன், காதுகள், செல்லும், தோழி, நடனமாடுபவர், பார்ட்டி, பார்ட்டிக்குச், பெண்கள், முயல்
👯‍♀️	bestie, bff, bunny, counterpart, dancer, double, ear, ears, identical, pair, party, partying, people, soulmate, twin, twinsies, twinsy, women, கலைஞர்கள், காது, நடனக், நடனமாடும், பார்ட்டி, பெண்கள், முயல்
👯‍♂️	bestie, bff, bunny, counterpart, dancer, double, ear, ears, identical, men, pair, party, partying, people, soulmate, twin, twinsies, twinsy, ஆண்கள், இரட்டையர், உயிர், கலைஞர்கள், காது, நடனக், நடனமாடும், நண்பர், நபர், பார்ட்டி, முயல்
👰	person, veil, wedding, அணிந்த, கல்யாணம், திருமண, திருமணம், நபர், பெண், மணப்பெண், மணமகள், முக்காடு
👰‍♀️	bride, veil, wedding, woman, அணிந்த, பெண், முக்காடு
👰‍♂️	man, veil, wedding, அணிந்த, ஆண், முக்காடு
👲	cap, chinese, gua, guapi, hat, mao, person, pi, skullcap, அணிந்தவர், ஆண், ஒட்டுத்தொப்பியுடன், கூடிய, சீன, சீனத், தொப்பி, நபர், மக்கள்
👳	person, turban, wearing, அணிந்தவர், ஆண், சிங், டர்பன், தலைப்பாகை, நபர், மக்கள்
👳‍♀️	turban, wearing, woman, அணிந்த, டர்பன், தலைப்பாகை, நபர், பெண்
👳‍♂️	man, turban, wearing, அணிந்த, ஆண், சிங், தலைப்பாகை
👶	baby, infant, newborn
👷	build, construction, fix, hardhat, hat, man, person, rebuild, remodel, repair, work, worker, கட்டுமான, கட்டுமானம், தலைக்கவசம், தொழிலாளி, நபர், பணி, பணியாளர், பழுது, பார்த்தல், மக்கள், ஹெல்மெட்
👷‍♀️	build, construction, fix, hardhat, hat, man, rebuild, remodel, repair, woman, work, worker, கட்டுமானத், கட்டுமானம், தொழிலாளர், தொழிலாளி, நபர், பெண், ஹெல்மெட்
👷‍♂️	build, construction, fix, hardhat, hat, man, rebuild, remodel, repair, work, worker, ஆண், கட்டுமானத், கட்டுமானம், தொழிலாளர், தொழிலாளி
👸	crown, fairy, fairytale, fantasy, princes, princess, queen, royal, royalty, tale, இளவரசி, கதைகள், தேவதை, தேவதைக், நபர், பெண், மக்கள், ராணி
💂	buckingham, guard, helmet, london, palace, அரண்மனை, காவலர்கள், காவலாளி, நபர், பக்கிங்காம், பாதுகாவலர், மக்கள்
💂‍♀️	buckingham, guard, helmet, london, palace, woman, அரண்மனை, நபர், பக்கிங்காம், பாதுகாவலர், பெண், லண்டன், ஹெல்மெட்
💂‍♂️	buckingham, guard, helmet, london, man, palace, ஆண், பாதுகாவலர்
💃	dance, dancer, dancing, elegant, festive, flair, flamenco, groove, let, salsa, tango, woman, ஆடலாம், கலைஞர், குதூகலம், சல்சா, நடனக், நடனம், நபர், நாட்டியம், பெண்
💄	cosmetic, cosmetics, date, lipstick, makeup, அப், அலங்காரம், உதட்டுச்சாயம், காஸ்மெடிக், பொருள், மேக், மேக்அப், மேக்கப், லிப்ஸ்டிக்
💆	getting, headache, massage, person, relax, relaxing, salon, soothe, spa, tension, therapy, treatment, அழகு, சலூன், செய்துகொள்பவர், தலை, தலைவலி, நபர், பெண், மசாஜ், முக, முகம்
💆‍♀️	getting, headache, massage, relax, relaxing, salon, soothe, spa, tension, therapy, treatment, woman, கொள்ளும், சலூன், செய்து, தலை, தலையில், பெண், மசாஜ்
💆‍♂️	getting, headache, man, massage, relax, relaxing, salon, soothe, spa, tension, therapy, treatment, அழகுபடுத்துதல், ஆண், ஓய்வு, கொள்ளும், சலூன், செய்து, டென்ஷன், தலை, தலையில், தலைவலி, திருத்தகம், நபர், மசாஜ், முடி
💇	barber, beauty, chop, cosmetology, cut, getting, groom, hair, haircut, parlor, person, shear, shears, style, அலங்காரம், அழகு, கூந்தல், சிகை, நபர், நிலையம், பராமரிப்பு, பார்லர், பியூட்டி, பெண், முடி, முடித்திருத்தம், வெட்டு, வெட்டுதல்
💇‍♀️	barber, beauty, chop, cosmetology, cut, getting, groom, hair, haircut, parlor, person, shear, shears, style, woman, கட், கொள்ளும், தலைமுடி, பார்லர், பெண், முடி, வெட்டிக், ஹேர்
💇‍♂️	barber, beauty, chop, cosmetology, cut, getting, groom, hair, haircut, man, parlor, person, shear, shears, style, அழகு, ஆண், கட், கொள்ளும், தலைமுடி, நபர், நிலையம், பார்லர், முடி, வெட்டிக், வெட்டுதல், ஹேர்
💈	barber, cut, fresh, haircut, pole, shave, ஃபோல், கடை, பார்பர், போல், முடிதிருத்தகம், முடிதிருத்துதல், முடிதிருத்துபவர், முடிதிருத்தும், முடிவெட்டும்
💉	doctor, flu, medicine, needle, shot, sick, syringe, tool, vaccination, ஊசி, காய்ச்சல், சிகிச்சை, சிரிஞ்சு, தடுப்பூசி, பொருள், மருத்துவம், மருந்து, வைத்தியம்
💊	doctor, drug, drugs, medicated, medicine, pill, pills, sick, vitamin, உடல், காய்ச்சல், குறைவு, கேப்ஸ்யூல், நலக், பொருள், மருத்துவம், மருத்துவர், மருந்து, மாத்திரை, வைட்டமின்
💍	diamond, engaged, engagement, married, ring, romance, shiny, sparkling, wedding, அணிகலன், காதல், திருமணம், நிச்சயத்தார்த்தம், மோதிரம், ரொமான்ஸ், வைரம்
💎	diamond, engagement, gem, jewel, money, romance, stone, wedding, ஆபரணம், கல், காதல், நகை, ரத்தினக், ரத்தினம், ராசி, ராசிக்கல், வைரம்
💐	anniversary, birthday, bouquet, date, flower, love, plant, romance, காதல், பிறந்தநாள், பூங்கொத்து, மலர்கள், மலர்க்கொத்து, ரொமான்ஸ், வாழ்த்து
💒	chapel, hitched, nuptial, nuptials, romance, wedding, அரங்கு, கல்யாணம், காதல், திருமண, திருமணம், தேவாலயம், ரொமான்ஸ்
💡	bulb, comic, electric, idea, light, ஐடியா, ஒளி, குண்டு, குமிழ், நகைச்சுவை, பல்பு, மின்சாரம், மின்விளக்கு, யோசனை
💣️	bomb, boom, comic, dangerou, dangerous, explosion, hot, குண்டு, குண்டுவெடிப்பு, பாம், வெடிகுண்டு, வெடிபொருள்
💧	cold, comic, drop, droplet, nature, sad, sweat, tear, water, weather, குளிர், தண்ணீர், துளி, நீர், வியர்வை, வியர்வைத்துளி, வெயில்
💮	flower, white, அருமை, என்பதைக், குறிக்கும், பூ, மலர், முத்திரை, வெள்ளை, வெள்ளைநிறப்
💰️	bag, bank, bet, billion, cash, cost, dollar, gold, million, money, moneybag, paid, paying, pot, rich, win, சுருக்குப்பை, டாலர், பணக்காரர், பணப்பை, பணம், புதையல், பொருள், வங்கி
💳️	bank, card, cash, charge, credit, money, pay, அட்டை, கடன், கட்டணம், கார்டு, கிரெடிட், செலுத்து, பணம், பொருள், ஷாப்பிங்
💴	bank, banknote, bill, currency, money, note, yen, கட்டு, ஜப்பான், நோட்டு, நோட்டுக், பணம், பொருள், யென், ரூபாய்
💵	bank, banknote, bill, currency, dollar, money, note, அமெரிக்கா, கட்டு, கரன்சி, கரன்ஸி, டாலர், நாணயம், நோட்டு, நோட்டுக், பணம், மணி, வங்கி
💶	100, bank, banknote, bill, currency, euro, money, note, rich, ஐரோப்பா, கட்டு, நோட்டு, நோட்டுக், பணம், யூரோ, ரூபாய்
💷	bank, banknote, bill, billion, cash, currency, money, note, pound, pounds, இங்கிலாந்து, கட்டு, கரன்சி, நோட்டு, நோட்டுக், பணம், பவுண்ட், ரூபாய், வங்கி
💸	bank, banknote, bill, billion, cash, dollar, fly, million, money, note, pay, wing, wings, இறக்கைகளுடன், கூடிய, பணம், பறக்கும், வங்கி, வங்கிப்
💹	bank, chart, currency, graph, growth, increasing, market, money, rise, trend, upward, yen, ஏறுமுகம், ஏற்றம், கரன்சி, சந்தை, பங்குச்சந்தை, போக்கு, யென், வளரும், வளர்ச்சி
💺	chair, seat, இருக்கை, சீட், நாற்காலி
💻️	computer, laptop, office, pc, personal, ஆபிஸ், கணினி, கணிப்பொறி, தனிநபர், பர்சனல், பிசி, லேப்டாப்
💼	briefcase, office, அலுவலகம், ஆவணம், கேஸ், சூட்கேஸ், பெட்டி, பொருள், ப்ரீஃப், லேப்டாப்
